Concorso;Data;N1;N2;N3;N4;N5;N6
146;2026-09-11;8;13;16;52;64;70
145;2026-09-10;2;17;39;59;63;89
144;2026-09-08;23;26;41;52;59;85
143;2026-09-05;12;24;28;32;37;78
142;2026-09-04;8;44;60;73;86;89
141;2026-09-03;8;11;15;60;68;76
140;2026-09-01;42;47;59;64;67;71
139;2026-08-29;12;17;45;59;74;77
138;2026-08-28;4;8;27;62;70;79
137;2026-08-27;2;27;28;50;75;84
136;2026-08-25;15;36;62;67;69;70
135;2026-08-22;2;16;23;31;72;85
134;2026-08-21;12;25;27;28;39;57
133;2026-08-20;14;18;26;51;64;71
132;2026-08-18;10;16;24;25;39;66
131;2026-08-17;18;24;69;71;73;82
130;2026-08-14;9;18;20;25;53;90
129;2026-08-13;2;7;16;29;57;84
128;2026-08-11;8;19;38;53;66;79
127;2026-08-08;9;12;55;61;82;85
126;2026-08-07;1;7;29;32;60;63
125;2026-08-06;2;11;20;33;74;83
124;2026-08-04;49;56;58;70;76;78
123;2026-08-01;8;11;21;24;72;88
122;2026-07-31;2;6;10;31;39;83
121;2026-07-30;20;47;75;76;78;89
120;2026-07-28;1;6;9;43;54;62
119;2026-07-25;18;19;33;34;61;85
118;2026-07-24;20;40;53;61;74;79
117;2026-07-23;2;12;22;34;70;74
116;2026-07-21;13;14;15;29;38;63
115;2026-07-18;1;28;52;62;79;86
114;2026-07-17;7;34;45;64;65;76
113;2026-07-16;1;15;21;46;52;67
112;2026-07-14;8;44;49;80;85;88
111;2026-07-11;6;7;10;47;49;61
110;2026-07-10;2;3;12;28;63;82
109;2026-07-09;9;17;20;31;40;79
108;2026-07-07;3;16;30;53;55;79
107;2026-07-04;2;37;55;62;72;76
106;2026-07-03;22;26;30;40;68;86
105;2026-07-02;4;17;19;23;47;59
104;2026-06-30;1;7;51;64;78;83
103;2026-06-27;15;19;36;47;85;90
102;2026-06-26;1;22;30;45;73;76
101;2026-06-25;25;27;54;72;73;76
100;2026-06-23;1;12;17;27;66;84
99;2026-06-20;14;59;69;71;82;89
98;2026-06-19;14;18;25;69;81;89
97;2026-06-18;4;26;39;43;70;87
96;2026-06-16;4;28;33;35;66;80
95;2026-06-13;13;23;34;68;87;90
94;2026-06-12;18;24;42;68;75;83
93;2026-06-11;7;21;22;40;44;87
92;2026-06-09;18;36;47;55;73;80
91;2026-06-08;28;33;51;59;82;87
90;2026-06-06;2;7;29;68;72;89
89;2026-06-05;9;25;51;63;73;89
88;2026-06-04;12;33;43;55;74;75
87;2026-05-30;8;13;21;39;63;71
86;2026-05-29;9;42;44;46;85;90
85;2026-05-28;22;33;36;74;78;86
84;2026-05-26;7;10;35;41;45;61
83;2026-05-23;14;29;34;57;59;69
82;2026-05-22;5;17;65;71;83;87
81;2026-05-21;1;38;57;58;64;81
80;2026-05-19;49;57;61;73;79;86
79;2026-05-16;7;12;60;69;89;90
78;2026-05-15;5;13;17;28;47;68
77;2026-05-14;31;56;72;74;84;85
76;2026-05-12;2;28;31;57;58;59
75;2026-05-09;9;27;30;42;43;62
74;2026-05-08;8;16;41;47;51;90
73;2026-05-07;1;34;48;66;69;73
72;2026-05-05;24;34;45;55;81;87
71;2026-05-04;3;14;31;46;61;63
70;2026-05-02;7;58;60;79;84;86
69;2026-04-30;6;7;15;44;52;58
68;2026-04-28;29;42;43;47;57;60
67;2026-04-27;40;57;62;64;85;87
66;2026-04-24;6;13;33;37;68;82
65;2026-04-23;18;24;28;35;56;58
64;2026-04-21;18;19;40;43;56;77
63;2026-04-18;11;22;28;33;68;77
62;2026-04-17;13;27;45;53;57;84
61;2026-04-16;9;11;12;38;44;54
60;2026-04-14;3;5;20;27;35;66
59;2026-04-11;19;28;38;48;77;85
58;2026-04-10;3;10;13;17;58;90
57;2026-04-09;2;30;38;63;74;84
56;2026-04-07;10;16;18;47;50;59
55;2026-04-04;8;21;29;46;60;81
54;2026-04-03;28;52;53;64;66;72
53;2026-04-02;18;24;25;32;36;63
52;2026-03-31;1;3;39;46;47;61
51;2026-03-28;9;45;62;67;68;81
50;2026-03-27;6;22;27;43;58;64
49;2026-03-26;24;26;39;69;77;80
48;2026-03-24;6;54;60;64;74;87
47;2026-03-21;9;26;33;49;51;55
46;2026-03-20;14;32;45;51;54;87
45;2026-03-19;19;39;45;54;62;89
44;2026-03-17;2;13;16;41;53;56
43;2026-03-14;3;6;33;63;88;89
42;2026-03-13;3;11;13;20;53;61
